alpha	beta
1.96640625	0.0
1.9649409203980097	0.005
1.9600866336633664	0.01
1.952470751231527	0.015
1.944240196078431	0.02
1.9359756097560976	0.025
1.9265776699029127	0.03
1.9172327898550725	0.035
1.9080528846153846	0.04
1.8991477272727275	0.045
1.8898809523809523	0.05
1.8810352488151658	0.055
1.8719044811320753	0.06
1.863336267605634	0.065
1.854556074766355	0.07
1.8455668604651163	0.075
1.8373119212962958	0.08
1.8289170506912442	0.085
1.8203841743119265	0.09
1.8122324486301369	0.095
1.8039772727272727	0.1
1.7956200509049771	0.105
1.7877252252252251	0.11
1.7797610706278026	0.115
1.7717285156249998	0.12
1.7636284722222224	0.125
1.7560840707964605	0.13
1.748502890969163	0.135
1.7408854166666663	0.14
1.7332321233624455	0.145
1.7255434782608696	0.15
1.7178199404761902	0.155
1.7107691271551726	0.16
1.7029908798283262	0.165
1.6959134615384617	0.17
1.6888297872340425	0.17500000000000002
1.6817399364406778	0.18
1.6746439873417722	0.185
1.667542016806723	0.19
1.66043410041841	0.195
1.6533203125	0.2
1.6470273599585061	0.20500000000000002
1.6399147727272725	0.21
1.633648405349794	0.215
1.6265368852459017	0.22
1.6202965561224485	0.225
1.6131859756097562	0.23
1.6069711538461537	0.23500000000000001
1.6007749495967745	0.24
1.5936715612449799	0.245
1.5875000000000001	0.25
1.5813464890438245	0.255
1.5752108134920633	0.26
1.569092761857707	0.265
1.5629921259842519	0.27
1.5569087009803924	0.275
1.5503387451171875	0.28
1.5442834995136185	0.28500000000000003
1.5382449127906979	0.29
1.532222791988417	0.295
1.5262169471153846	0.3
1.5207585009578541	0.305
1.5147900763358777	0.31
1.5088373336501901	0.315
1.5034475615530303	0.32
1.497530955188679	0.325
1.4921874999999998	0.33
1.4863061797752808	0.335
1.481008045708955	0.34
1.475734781598513	0.34500000000000003
1.4699074074074074	0.35000000000000003
1.464677986623616	0.355
1.4594726562500002	0.36
1.4536973443223442	0.365
1.4485344434306568	0.37
1.443394886363636	0.375
1.4376698369565215	0.38
1.4325713560469313	0.385
1.4274955035971222	0.39
1.4224420362903225	0.395
1.4174107142857144	0.4
1.4124013011565837	0.405
1.4074135638297869	0.41000000000000003
1.4024472725265018	0.41500000000000004
1.3975022007042253	0.42
1.392578125	0.425
1.3876748251748254	0.43
1.3827920840592332	0.435
1.3779296875	0.44
1.3737564878892732	0.445
1.3689385775862069	0.45
1.3641403565292096	0.455
1.3593616224315066	0.46
1.354602175767918	0.465
1.349861819727891	0.47000000000000003
1.3458355402542375	0.47500000000000003
1.3411370354729728	0.48
1.336457018097643	0.485
1.3317953020134226	0.49
1.3278637123745818	0.495
1.3232421875	0.5
1.3186383928571428	0.505
1.314776490066225	0.51
1.3102116852310228	0.515
1.3056640625	0.52
1.3018698770491803	0.525
1.2973600898692812	0.53
1.2928669584690553	0.535
1.2891385957792207	0.54
1.2846821905339807	0.545
1.2802419354838708	0.55
1.2765775723472668	0.555
1.2721729767628203	0.56
1.2685515674920131	0.5650000000000001
1.2641819267515921	0.5700000000000001
1.2606026785714284	0.5750000000000001
1.2562673061708862	0.58
1.2527294459779177	0.585
1.248427672955975	0.59
1.244930446708464	0.595
1.24066162109375	0.6
1.2364072235202492	0.605
1.2329677795031055	0.61
1.2287454044117647	0.615
1.22534481095679	0.62
1.221965144230769	0.625
1.2177914110429446	0.63
1.2144495412844036	0.635
1.2103063071646338	0.64
1.20700156724924	0.645
1.2028882575757576	0.65
1.199619996223565	0.655
1.1955360504518073	0.66
1.1923036317567564	0.665
1.1882485029940122	0.67
1.185051305970149	0.675
1.181873139880952	0.68
1.1778618787091986	0.685
1.1747180103550297	0.6900000000000001
1.1707342367256637	0.6950000000000001
1.1676240808823526	0.7000000000000001
1.1645321664222872	0.705
1.160590277777778	0.71
1.1575312044460642	0.715
1.1544899164244184	0.72
1.150588768115942	0.725
1.1475794797687864	0.73
1.1445875360230549	0.735
1.1407260237068964	0.74
1.137765266833811	0.745
1.1339285714285714	0.75
1.1309984864672364	0.755
1.1280850497159092	0.76
1.1242862517705379	0.765
1.1214027189265536	0.77
1.1185354313380282	0.775
1.1156842521067416	0.78
1.1119353991596637	0.785
1.1091131284916198	0.79
1.1063065807799441	0.795
1.1025933159722223	0.8
1.0998149671052633	0.805
1.0970519682320439	0.81
1.0943041924931127	0.8150000000000001
1.0906378777472527	0.8200000000000001
1.0879173801369861	0.8250000000000001
1.0852117486338795	0.8300000000000001
1.0815788913487738	0.835
1.0788998811141304	0.84
1.0762353912601625	0.845
1.073585304054054	0.85
1.0699966307277626	0.855
1.067372311827957	0.86
1.0647620643431635	0.865
1.0612048796791442	0.87
1.0586197916666666	0.875
1.0560484541223403	0.88
1.0534907576259946	0.885
1.0499751984126982	0.89
1.0474418700527706	0.895
1.044921875	0.9
1.0424151082677167	0.905
1.0399214659685865	0.91
1.0364566334856395	0.915
1.0339864095052085	0.92
1.0315290178571426	0.925
1.0280926165803108	0.93
1.025658107235142	0.935
1.0232361469072164	0.9400000000000001
1.0208266388174807	0.9450000000000001
1.017928685897436	0.9500000000000001
1.0150405610613809	0.9550000000000001
1.012665417729592	0.96
1.0097979285941479	0.965
1.0064344067258884	0.97
1.0030780261075947	0.975
0.9992207228535351	0.98
0.9948589027078087	0.985
0.9899890075376883	0.99
0.9779575892857142	0.995
