alpha	beta
1.984375	0.0
1.9942968749999999	0.005
2.00421875	0.01
2.0151318359374994	0.015
2.0250585937500003	0.02
2.03448486328125	0.025
2.0444091796875	0.03
2.05433349609375	0.035
2.0642578125	0.04
2.0746923828124997	0.045
2.0846191406250005	0.05
2.0945458984375	0.055
2.10447265625	0.06
2.1143994140625	0.065
2.124326171875	0.07
2.1342529296874995	0.075
2.1447070312500003	0.08
2.1546362304687494	0.085
2.1645654296875003	0.09
2.17449462890625	0.095
2.1844238281250004	0.1
2.19435302734375	0.105
2.2042822265625004	0.11
2.21421142578125	0.115
2.2246875	0.12
2.234619140625	0.125
2.24455078125	0.13
2.2544824218749997	0.135
2.2644140625	0.14
2.2743457031250003	0.145
2.2842773437499995	0.15
2.294208984375	0.155
2.3041406249999996	0.16
2.3146411132812506	0.165
2.3245751953125	0.17
2.3345092773437504	0.17500000000000002
2.344443359375	0.18
2.3543774414062497	0.185
2.3643115234375003	0.19
2.37424560546875	0.195
2.3841796874999996	0.2
2.39411376953125	0.20500000000000002
2.4040478515624994	0.21
2.4145751953125005	0.215
2.42451171875	0.22
2.4344482421875004	0.225
2.4443847656249997	0.23
2.4543212890625004	0.23500000000000001
2.4642578125000005	0.24
2.4741943359375	0.245
2.484130859375	0.25
2.4940673828125	0.255
2.5040039062499995	0.26
2.5139404296875005	0.265
2.5238769531250003	0.27
2.5338134765624996	0.275
2.544375	0.28
2.5543139648437503	0.28500000000000003
2.5642529296875005	0.29
2.57419189453125	0.295
2.584130859375	0.3
2.5940698242187503	0.305
2.6040087890625	0.31
2.61394775390625	0.315
2.6238867187499997	0.32
2.63382568359375	0.325
2.6437646484375	0.33
2.6537036132812495	0.335
2.6636425781250006	0.34
2.6604467773437497	0.34500000000000003
2.6571533203125	0.35000000000000003
2.6537622070312503	0.355
2.6509375	0.36
2.64802001953125	0.365
2.645009765625	0.37
2.642578125	0.375
2.64005859375	0.38
2.63812744140625	0.385
2.6354345703125	0.39
2.63401611328125	0.395
2.6318359375	0.4
2.6302587890625	0.405
2.6292919921875004	0.41000000000000003
2.62756103515625	0.41500000000000004
2.6264453124999996	0.42
2.6252563476562503	0.425
2.6246923828125004	0.43
2.6240600585937495	0.435
2.623359375	0.44
2.6225903320312502	0.445
2.6224609374999996	0.45
2.6222680664062503	0.455
2.6220117187499996	0.46
2.62169189453125	0.465
2.6220263671875	0.47000000000000003
2.6215820312500004	0.47500000000000003
2.6217968750000002	0.48
2.6226782226562504	0.485
2.6227783203125004	0.49
2.6235498046875003	0.495
2.624267578125	0.5
2.6249316406250003	0.505
2.6255419921875003	0.51
2.6260986328125004	0.515
2.6273437500000005	0.52
2.6285400390625	0.525
2.6296875	0.53
2.6307861328125	0.535
2.6318359375	0.54
2.6298193359375004	0.545
2.5967041015625	0.55
2.5663574218750007	0.555
2.538046875	0.56
2.5117944335937494	0.5650000000000001
2.48685546875	0.5700000000000001
2.46324462890625	0.5750000000000001
2.4409765625000004	0.58
2.4200659179687496	0.585
2.40052734375	0.59
2.3815966796875	0.595
2.363281250000001	0.6
2.3463720703125	0.605
2.3300976562500004	0.61
2.31446533203125	0.615
2.3002734375000005	0.62
2.28594970703125	0.625
2.2722900390625	0.63
2.2593017578124996	0.635
2.2469921875	0.64
2.23536865234375	0.645
2.2236328124999996	0.65
2.2125927734374997	0.655
2.2022558593749997	0.66
2.19181640625	0.665
2.18208984375	0.67
2.1730834960937497	0.675
2.163984375000001	0.68
2.1547924804687506	0.685
2.1463330078125002	0.6900000000000001
2.13861328125	0.6950000000000001
2.10009765625	0.7000000000000001
2.0513281250000004	0.705
2.0080810546875	0.71
1.9695703124999997	0.715
1.935	0.72
1.90272216796875	0.725
1.8736035156249997	0.73
1.8468261718749999	0.735
1.8215625	0.74
1.7978271484375004	0.745
1.775634765625	0.75
1.755	0.755
1.7359375	0.76
1.71760009765625	0.765
1.6999951171875	0.77
1.6831298828125	0.775
1.6678808593750003	0.78
1.65251953125	0.785
1.6064550781250002	0.79
1.553095703125	0.795
1.508203125	0.8
1.4683251953125003	0.805
1.4343896484375	0.81
1.40290283203125	0.8150000000000001
1.374775390625	0.8200000000000001
1.3491455078125	0.8250000000000001
1.3260351562500001	0.8300000000000001
1.30367431640625	0.835
1.2838671874999998	0.84
1.2342041015625	0.845
1.1815429687499999	0.85
1.1394482421875	0.855
1.10255859375	0.86
1.07091796875	0.865
1.0436572265625	0.87
1.01806640625	0.875
0.9822265624999998	0.88
0.92869384765625	0.885
0.8868603515625	0.89
0.8531201171875	0.895
0.8229003906249999	0.9
0.7980908203125001	0.905
0.7750048828125	0.91
0.7545922851562501	0.915
0.7359374999999999	0.92
0.71905517578125	0.925
0.7030175781250001	0.93
0.6887768554687499	0.935
0.6754003906250001	0.9400000000000001
0.6638452148437499	0.9450000000000001
0.6522216796875001	0.9500000000000001
0.6405297851562501	0.9550000000000001
0.6306835937500002	0.96
0.62077880859375	0.965
0.61177734375	0.97
0.6036865234375001	0.975
0.5955468749999999	0.98
0.5873583984375	0.985
0.5800927734375	0.99
0.580576171875	0.995
