alpha	beta
1.984375	0.0
1.9745680775808458	0.005
1.9658058090965347	0.01
1.9561412792487687	0.015
1.9465475643382355	0.02
1.93798828125	0.025
1.9285307949029127	0.03
1.9201011473429952	0.035
1.9165226862980769	0.04
1.9034277811004787	0.045
1.8951822916666665	0.05
1.8869964454976302	0.055
1.8788693985849054	0.06
1.875534129254695	0.065
1.8637330242406542	0.07
1.855775345203488	0.075
1.8488136574074072	0.08
1.8419026317684328	0.085
1.8341053254013762	0.09
1.8272955907534247	0.095
1.819602272727273	0.1
1.8138212316176472	0.105
1.807155299831081	0.11
1.8005360145739908	0.115
1.7939627511160714	0.12
1.7874348958333333	0.125
1.7818722345132743	0.13
1.7754314943557268	0.135
1.767201206140351	0.14
1.7635951146288211	0.145
1.7572817595108696	0.15
1.7491883116883118	0.155
1.745689655172414	0.16
1.7404062164699572	0.165
1.7351595886752138	0.17
1.7290454621010636	0.17500000000000002
1.7238728151483051	0.18
1.7187355781909281	0.185
1.7136333048844539	0.19
1.7085655563546025	0.195
1.7035319010416667	0.2
1.6985319145487552	0.20500000000000002
1.6935651794938016	0.21
1.688631285365226	0.215
1.6837298283811475	0.22
1.6779735331632653	0.225
1.6740226435467478	0.23
1.669216140561741	0.23500000000000001
1.6653225806451615	0.24
1.6605758973393572	0.245
1.65673828125	0.25
1.6511726531374507	0.255
1.647391183035714	0.26
1.640138648715415	0.265
1.639033280019685	0.27
1.6353304993872553	0.275
1.6307830810546875	0.28
1.627131718142023	0.28500000000000003
1.623504875242248	0.29
1.618171603523166	0.295
1.6145958533653846	0.3
1.6110437619731799	0.305
1.6126811486164123	0.31
1.6022902804182508	0.315
1.5996685606060606	0.32
1.595353036556604	0.325
1.587640977443609	0.33
1.5885050912921348	0.335
1.5851139808768655	0.34
1.5825957684711898	0.34500000000000003
1.579246238425926	0.35000000000000003
1.580161006688192	0.355
1.5726102941176472	0.36
1.5693234174679485	0.365
1.564367586678832	0.37
1.5628107244318181	0.375
1.5595844655797102	0.38
1.5555371446299637	0.385
1.5523514781924463	0.39
1.5475085405465947	0.395
1.5435267857142858	0.4
1.5454171068727756	0.405
1.5389655363475176	0.41000000000000003
1.5408758695892226	0.41500000000000004
1.5353006712147887	0.42
1.5314127604166665	0.425
1.528374945367133	0.43
1.5253548971036586	0.435
1.5223524305555554	0.44
1.5177149789143596	0.445
1.5180495689655173	0.45
1.5134487086554984	0.455
1.5121602097602742	0.46
1.5092406809940275	0.465
1.5071581366921767	0.47000000000000003
1.5050897113347455	0.47500000000000003
1.502217060810811	0.48
1.4977262863005052	0.485
1.497335753984899	0.49
1.4912501306438126	0.495
1.49169921875	0.5
1.4840278498754151	0.505
1.4836894660596027	0.51
1.4825491826526407	0.515
1.4798005756578947	0.52
1.4803006531762295	0.525
1.4751551011029411	0.53
1.4700303466001627	0.535
1.4657315340909087	0.54
1.4662769897855987	0.545
1.466828377016129	0.55
1.465781061595659	0.555
1.4615384615384617	0.56
1.4613150209664534	0.5650000000000001
1.4587013584792992	0.5700000000000001
1.4576977926587302	0.5750000000000001
1.455906348892405	0.58
1.4533298624802842	0.585
1.4515618858097485	0.59
1.4498049936324453	0.595
1.4345703125	0.6
1.445531542056075	0.605
1.4406419836956523	0.61
1.4381424753289473	0.615
1.4372347608024691	0.62
1.4371243990384617	0.625
1.434657184624233	0.63
1.422758983180428	0.635
1.4313309832317074	0.64
1.4194766337386018	0.645
1.4264766808712122	0.65
1.4240671025302116	0.655
1.4232339514307228	0.66
1.4192825638138138	0.665
1.4208107223053896	0.67
1.4114243236940296	0.675
1.4082961309523812	0.68
1.4129613316023741	0.685
1.4129588110207099	0.6900000000000001
1.4020931277654864	0.6950000000000001
1.409869025735294	0.7000000000000001
1.4036897452346042	0.705
1.399077119883041	0.71
1.4037559220116618	0.715
1.3976199127906979	0.72
1.4015299479166667	0.725
1.3969613665101157	0.73
1.3924078597802594	0.735
1.3940205190373565	0.74
1.3795050590974214	0.745
1.3888113839285712	0.75
1.3896720864494303	0.755
1.388239080255682	0.76
1.382224625973796	0.765
1.3815766242937855	0.77
1.3801716549295777	0.775
1.377249385533708	0.78
1.382718126313025	0.785
1.3805702252094973	0.79
1.3753903529770195	0.795
1.3694661458333335	0.8
1.3719052977839334	0.805
1.3728283623964088	0.81
1.3714824918216255	0.8150000000000001
1.368630880837912	0.8200000000000001
1.3514287243150682	0.8250000000000001
1.3531420765027322	0.8300000000000001
1.3639092302452318	0.835
1.3641092051630435	0.84
1.361301659891599	0.845
1.3607606630067566	0.85
1.3527101583557952	0.855
1.3454301075268817	0.86
1.3441689008042894	0.865
1.355654140207219	0.87
1.3543945312499999	0.875
1.3546376329787235	0.88
1.3451695125994694	0.885
1.3454292741402116	0.89
1.3494225655507917	0.895
1.3399979440789473	0.9
1.3343175853018374	0.905
1.3472497750327226	0.91
1.343067936112924	0.915
1.3426106770833335	0.92
1.3429002637987013	0.925
1.3409695798251298	0.93
1.3353432352228682	0.935
1.3289908182989691	0.9400000000000001
1.3344826980237792	0.9450000000000001
1.3288887219551282	0.9500000000000001
1.3107616687979537	0.9550000000000001
1.3295400191326534	0.96
1.314398457379135	0.965
1.3198985763007614	0.97
1.3092118275316458	0.975
1.3081005366161618	0.98
1.3121347115081863	0.985
1.3029601130653266	0.99
1.307732221177945	0.995
