alpha	beta
2.0	0.0
1.9900497512437814	0.005
1.9801980198019802	0.01
1.9704433497536948	0.015
1.9607843137254901	0.02
1.9512195121951221	0.025
1.941747572815534	0.03
1.9323671497584543	0.035
1.923076923076923	0.04
1.9138755980861246	0.045
1.9047619047619047	0.05
1.8957345971563981	0.055
1.8867924528301885	0.06
1.8779342723004695	0.065
1.8691588785046729	0.07
1.8604651162790697	0.075
1.8518518518518516	0.08
1.8433179723502304	0.085
1.8348623853211008	0.09
1.8264840182648403	0.095
1.8181818181818181	0.1
1.8099547511312217	0.105
1.8018018018018016	0.11
1.7937219730941705	0.115
1.7857142857142856	0.12
1.7777777777777777	0.125
1.7699115044247788	0.13
1.7621145374449338	0.135
1.7543859649122806	0.14
1.7467248908296944	0.145
1.7391304347826089	0.15
1.7316017316017316	0.155
1.7241379310344829	0.16
1.7167381974248928	0.165
1.7094017094017095	0.17
1.702127659574468	0.17500000000000002
1.6949152542372883	0.18
1.6877637130801686	0.185
1.680672268907563	0.19
1.6736401673640167	0.195
1.6666666666666667	0.2
1.6597510373443982	0.20500000000000002
1.6528925619834711	0.21
1.6460905349794237	0.215
1.639344262295082	0.22
1.6326530612244896	0.225
1.6260162601626016	0.23
1.6194331983805668	0.23500000000000001
1.6129032258064517	0.24
1.6064257028112447	0.245
1.6	0.25
1.5936254980079683	0.255
1.5873015873015872	0.26
1.5810276679841895	0.265
1.574803149606299	0.27
1.5686274509803924	0.275
1.5625	0.28
1.5564202334630348	0.28500000000000003
1.5503875968992247	0.29
1.5444015444015444	0.295
1.5384615384615383	0.3
1.5325670498084292	0.305
1.5267175572519083	0.31
1.5209125475285172	0.315
1.5151515151515151	0.32
1.509433962264151	0.325
1.5037593984962405	0.33
1.4981273408239701	0.335
1.4925373134328357	0.34
1.4869888475836432	0.34500000000000003
1.4814814814814814	0.35000000000000003
1.4760147601476015	0.355
1.4705882352941178	0.36
1.465201465201465	0.365
1.4598540145985401	0.37
1.4545454545454546	0.375
1.4492753623188408	0.38
1.444043321299639	0.385
1.4388489208633093	0.39
1.4336917562724014	0.395
1.4285714285714286	0.4
1.4234875444839858	0.405
1.4184397163120566	0.41000000000000003
1.4134275618374559	0.41500000000000004
1.4084507042253522	0.42
1.4035087719298245	0.425
1.3986013986013988	0.43
1.3937282229965156	0.435
1.3888888888888888	0.44
1.3840830449826989	0.445
1.3793103448275863	0.45
1.3745704467353952	0.455
1.36986301369863	0.46
1.36518771331058	0.465
1.3605442176870748	0.47000000000000003
1.3559322033898304	0.47500000000000003
1.3513513513513513	0.48
1.3468013468013469	0.485
1.342281879194631	0.49
1.3377926421404682	0.495
1.3333333333333333	0.5
1.3289036544850499	0.505
1.3245033112582782	0.51
1.3201320132013201	0.515
1.3157894736842106	0.52
1.3114754098360657	0.525
1.3071895424836601	0.53
1.3029315960912051	0.535
1.2987012987012987	0.54
1.2944983818770228	0.545
1.2903225806451613	0.55
1.2861736334405143	0.555
1.282051282051282	0.56
1.2779552715654952	0.5650000000000001
1.2738853503184713	0.5700000000000001
1.2698412698412698	0.5750000000000001
1.2658227848101264	0.58
1.2618296529968454	0.585
1.257861635220126	0.59
1.2539184952978057	0.595
1.25	0.6
1.2461059190031152	0.605
1.2422360248447206	0.61
1.238390092879257	0.615
1.2345679012345678	0.62
1.2307692307692308	0.625
1.2269938650306749	0.63
1.2232415902140672	0.635
1.2195121951219512	0.64
1.21580547112462	0.645
1.2121212121212122	0.65
1.2084592145015105	0.655
1.2048192771084336	0.66
1.2012012012012012	0.665
1.1976047904191618	0.67
1.1940298507462686	0.675
1.1904761904761905	0.68
1.1869436201780414	0.685
1.183431952662722	0.6900000000000001
1.1799410029498525	0.6950000000000001
1.176470588235294	0.7000000000000001
1.1730205278592374	0.705
1.1695906432748537	0.71
1.1661807580174928	0.715
1.1627906976744187	0.72
1.1594202898550725	0.725
1.1560693641618498	0.73
1.1527377521613833	0.735
1.1494252873563218	0.74
1.146131805157593	0.745
1.1428571428571428	0.75
1.1396011396011396	0.755
1.1363636363636365	0.76
1.13314447592068	0.765
1.1299435028248588	0.77
1.1267605633802817	0.775
1.1235955056179776	0.78
1.1204481792717087	0.785
1.1173184357541899	0.79
1.1142061281337048	0.795
1.1111111111111112	0.8
1.1080332409972298	0.805
1.1049723756906078	0.81
1.1019283746556474	0.8150000000000001
1.0989010989010988	0.8200000000000001
1.095890410958904	0.8250000000000001
1.0928961748633879	0.8300000000000001
1.0899182561307903	0.835
1.0869565217391306	0.84
1.0840108401084012	0.845
1.081081081081081	0.85
1.0781671159029649	0.855
1.0752688172043012	0.86
1.0723860589812333	0.865
1.06951871657754	0.87
1.0666666666666667	0.875
1.0638297872340425	0.88
1.0610079575596818	0.885
1.0582010582010581	0.89
1.0554089709762533	0.895
1.0526315789473684	0.9
1.0498687664041995	0.905
1.0471204188481675	0.91
1.0443864229765012	0.915
1.0416666666666667	0.92
1.0389610389610389	0.925
1.0362694300518134	0.93
1.0335917312661498	0.935
1.0309278350515465	0.9400000000000001
1.0282776349614395	0.9450000000000001
1.0256410256410255	0.9500000000000001
1.0230179028132993	0.9550000000000001
1.0204081632653061	0.96
1.0178117048346056	0.965
1.015228426395939	0.97
1.0126582278481011	0.975
1.0101010101010102	0.98
1.0075566750629723	0.985
1.0050251256281406	0.99
1.0025062656641603	0.995
