alpha	beta	
2.0000	0.0000	
2.0203	0.0100	
2.0606	0.0302	
2.1008	0.0504	
2.1412	0.0706	
2.1816	0.0908	
2.2220	0.1110	
2.2625	0.1312	
2.3029	0.1514	
2.3433	0.1716	
2.3837	0.1918	
2.4241	0.2120	
2.4645	0.2322	
2.5049	0.2524	
2.5453	0.2727	
2.5857	0.2929	
2.6033	0.3131	
2.6000	0.3333	
2.5984	0.3535	
2.5977	0.3737	
2.5926	0.3939	
2.5819	0.4141	
2.5656	0.4343	
2.5438	0.4545	
2.5165	0.4747	
2.4838	0.4949	
2.4458	0.5151	
2.4025	0.5353	
2.3539	0.5555	
2.3001	0.5757	
2.2411	0.5959	
2.1769	0.6161	
2.1075	0.6363	
2.0331	0.6565	
1.9535	0.6767	
1.8689	0.6969	
1.7792	0.7171	
1.6845	0.7373	
1.5847	0.7576	
1.4800	0.7778	
1.3702	0.7980	
1.2554	0.8182	
1.1357	0.8384	
1.0110	0.8586	
0.8814	0.8788	
0.7468	0.8990	
0.6073	0.9192	
0.4628	0.9394	
0.3135	0.9596	
0.1592	0.9798	
0.0011	1.0000	
