alpha	beta
1.9991445778579526	0.0
1.9978476627056894	0.005
1.99502816686324	0.01
1.9898655367951585	0.015
1.982199554978567	0.02
1.9728036192607576	0.025
1.962654119925562	0.03
1.9523578887604336	0.035
1.9422190672401591	0.04
1.9323921690312773	0.045
1.92292181447482	0.05
1.913772079715711	0.055
1.9048867612345046	0.06
1.896243440694776	0.065
1.8878556558841713	0.07
1.879723209387471	0.075
1.8717994803110012	0.08
1.8640295645114764	0.085
1.856406506044309	0.09
1.848962995791891	0.095
1.8417145171428213	0.1
1.8346346235469695	0.105
1.8276846979797912	0.11
1.8208514010422876	0.115
1.8141506003246162	0.12
1.807597423518614	0.125
1.8011710613477228	0.13
1.794808020566619	0.135
1.788436010999037	0.14
1.782028066310471	0.145
1.7756315537467657	0.15
1.7693382472285142	0.155
1.7632184861611802	0.16
1.7572793340986002	0.165
1.7514767400782913	0.17
1.745763676308427	0.17500000000000002
1.7401296210275579	0.18
1.7345962677744913	0.185
1.7291836600194368	0.19
1.7238903111060486	0.195
1.7187007785392614	0.2
1.7136007104258613	0.20500000000000002
1.7085809053571148	0.21
1.7036293120060222	0.215
1.6987248032451228	0.22
1.693847046902314	0.225
1.688994584095728	0.23
1.6841872211707356	0.23500000000000001
1.6794483789030314	0.24
1.674789242683236	0.245
1.670209362613244	0.25
1.6657054641178541	0.255
1.6612738015671829	0.26
1.6569029866878162	0.265
1.6525684781402077	0.27
1.6482397147266292	0.275
1.6438932957293821	0.28
1.6395181850173663	0.28500000000000003
1.635114098631932	0.29
1.6306956317523915	0.295
1.6263019005849286	0.3
1.6219925672024667	0.305
1.617821549527865	0.31
1.6138102898074276	0.315
1.6099441573057052	0.32
1.606190017509173	0.325
1.6025170740890893	0.33
1.598906314000346	0.335
1.5953472555688133	0.34
1.5918318221916925	0.34500000000000003
1.5883530261668901	0.35000000000000003
1.5849071145385136	0.355
1.5814945276062806	0.36
1.5781180603594631	0.365
1.5747799997332357	0.37
1.5714814160726231	0.375
1.5682241139170554	0.38
1.5650106153443142	0.385
1.561839711851054	0.39
1.5587049156417634	0.395
1.555600591298424	0.4
1.5525266911621434	0.405
1.54948564558976	0.41000000000000003
1.5464785354736974	0.41500000000000004
1.543505762716506	0.42
1.5405682772008098	0.425
1.5376663337607765	0.43
1.534798063181835	0.435
1.5319601777754202	0.44
1.5291498677164752	0.445
1.5263660415878113	0.45
1.5236095330948247	0.455
1.5208824476943046	0.46
1.5181863886941651	0.465
1.5155203132020185	0.47000000000000003
1.512880436421823	0.47500000000000003
1.510263036790825	0.48
1.507667357294363	0.485
1.5050959497569851	0.49
1.5025524683313032	0.495
1.5000382541499089	0.5
1.4975511950032692	0.505
1.4950890976074325	0.51
1.4926522773334372	0.515
1.490241059423223	0.52
1.4878535794657461	0.525
1.485488156419551	0.53
1.4831454982323942	0.535
1.4808266204395815	0.54
1.4785300033586453	0.545
1.4762526018275899	0.55
1.4739930352366328	0.555
1.4717526042224613	0.56
1.4695336674974158	0.5650000000000001
1.4673379743861692	0.5700000000000001
1.4651661843268076	0.5750000000000001
1.463017863486467	0.58
1.4608911133398157	0.585
1.458782239434266	0.59
1.456687070222462	0.595
1.4546044842592247	0.6
1.4525383723408465	0.605
1.4504937472981343	0.61
1.44847125423836	0.615
1.4464683092061983	0.62
1.444483997097493	0.625
1.4425190361770772	0.63
1.440572402357251	0.635
1.4386413795503001	0.64
1.436724182761617	0.645
1.4348207386586471	0.65
1.4329318781824434	0.655
1.4310595500617131	0.66
1.4292070872329687	0.665
1.4273769624506403	0.67
1.4255676137814048	0.675
1.4237736533907055	0.68
1.4219897114963571	0.685
1.4202139562936509	0.6900000000000001
1.4184484235766728	0.6950000000000001
1.4166966428572454	0.7000000000000001
1.4149609911154375	0.705
1.4132421706366856	0.71
1.4115403961792379	0.715
1.4098553427079155	0.72
1.4081846529462292	0.725
1.4065248593327886	0.73
1.4048747238843653	0.735
1.4032362830030862	0.74
1.4016128343313985	0.745
1.4000069318824517	0.75
1.3984190554659044	0.755
1.3968466431161892	0.76
1.3952850006647592	0.765
1.393731008982331	0.77
1.3921864155743064	0.775
1.3906561404184812	0.78
1.389142814311453	0.785
1.387644119005473	0.79
1.3861555602424083	0.795
1.3846745989186249	0.8
1.383201748631258	0.805
1.3817383622374686	0.81
1.3802840152649447	0.8150000000000001
1.3788367907251655	0.8200000000000001
1.3773961629150149	0.8250000000000001
1.3759641968413112	0.8300000000000001
1.3745433713998936	0.835
1.3731352650369681	0.84
1.371741921662781	0.845
1.3703655947874822	0.85
1.3690058458030283	0.855
1.3676587649610092	0.86
1.3663198980486735	0.865
1.364987398125528	0.87
1.3636625313836088	0.875
1.3623476198804667	0.88
1.361043368811767	0.885
1.3597480433590152	0.89
1.358459189954978	0.895
1.357176035894257	0.9
1.3559002670888587	0.905
1.354634584383814	0.91
1.3533804660884967	0.915
1.3521373707463804	0.92
1.3509037691588128	0.925
1.349678266326213	0.93
1.3484600147685541	0.935
1.3472491208976856	0.9400000000000001
1.3460466852597917	0.9450000000000001
1.3448537597583539	0.9500000000000001
1.343670101097774	0.9550000000000001
1.3424941779505524	0.96
1.3413248590822135	0.965
1.340163318987939	0.97
1.3390143543424227	0.975
1.337891038568864	0.98
1.3368249207501943	0.985
1.3358692556245015	0.99
1.3350786976001159	0.995
